
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
      -2221     ADL+      .12320E+01      1.00
       1131     S*+       .13823E+01      1.00
      -1131     AS*-      .13823E+01     -1.00
       1231     S*0       .13820E+01      0.00
      -1231     AS*0      .13820E+01      0.00
       2231     S*-       .13875E+01     -1.00
      -2231     AS*+      .13875E+01      1.00
       1331     XI*0      .15318E+01      0.00
      -1331     AXI*0     .15318E+01      0.00
       2331     XI*-      .15350E+01     -1.00
      -2331     AXI*+     .15350E+01      1.00
       3331     OM-       .16722E+01     -1.00
      -3331     AOM+      .16722E+01      1.00
       1141     UUC*      .26300E+01      2.00
      -1141     AUUC*     .26300E+01     -2.00
       1241     UDC*      .26300E+01      1.00
      -1241     AUDC*     .26300E+01     -1.00
       2241     DDC*      .26300E+01      0.00
      -2241     ADDC*     .26300E+01      0.00
       1341     USC*      .27000E+01      1.00
      -1341     AUSC*     .27000E+01     -1.00
       2341     DSC*      .27000E+01      0.00
      -2341     ADSC*     .27000E+01      0.00
       3341     SSC*      .28000E+01      0.00
      -3341     ASSC*     .28000E+01      0.00
       1441     UCC*      .37500E+01      2.00
      -1441     AUCC*     .37500E+01     -2.00
       2441     DCC*      .37500E+01      1.00
      -2441     ADCC*     .37500E+01     -1.00
       3441     SCC*      .39000E+01      1.00
      -3441     ASCC*     .39000E+01     -1.00
       4441     CCC*      .48000E+01      2.00
      -4441     ACCC*     .48000E+01     -2.00
       1151     UUB*      .55100E+01      1.00
